997,2704,5896648.2787841605,606277.4728618589,root,1
8,2527,5523731.657504042,575825.5547692276,grey,2
567,1564,4494641.157672847,354637.13112552173,CH,3
688,1255,3632131.21754339,314789.191548707,CTX,4
695,1229,3592005.0398450433,311689.4412762839,CTXpl,5
315,943,3190065.59945291,258199.3462035957,Isocortex,6
184,7,34800.60421685125,2753.6911405981996,FRP,7
68,2,4625.561744095597,696.0086280947755,FRP1,8
667,0,7215.402273898854,135.83252383115448,FRP2/3,8
526157192,2,16924.75949496026,898.9188539466006,FRP5,8
526157196,3,6006.41777054473,1017.0373045507288,FRP6a,8
526322264,0,28.462933351807877,5.893830174939766,FRP6b,8
500,406,1012833.7574257596,107627.58962866224,MO,7
107,0,0,0,MO1,8
219,0,0,0,MO2/3,8
299,0,0,0,MO5,8
644,0,0,0,MO6a,8
947,0,0,0,MO6b,8
985,92,383765.4585516127,25158.910193606316,MOp,8
320,4,36227.53131368622,3481.054421290517,MOp1,9
943,28,124720.79969727907,6567.231958150316,MOp2/3,9
648,36,123762.78678795326,9672.278658777408,MOp5,9
844,22,94462.5509534883,5087.219714490881,MOp6a,9
882,2,4591.789799205817,351.1254408971911,MOp6b,9
993,314,629068.2988741469,82468.67943505592,MOs,8
656,23,77846.27404930376,12660.103595774815,MOs1,9
962,66,171872.333270065,16064.325988407376,MOs2/3,9
767,154,259064.07758480078,38959.10824932126,MOs5,9
1021,70,117318.00512139304,14562.696283309648,MOs6a,9
1085,1,2967.6088485843347,222.44531824282063,MOs6b,9
453,258,1025949.0721863089,81826.37085000811,SS,7
12993,0,0,0,SS1,8
12994,0,0,0,SS2/3,8
12995,0,0,0,SS4,8
12996,0,0,0,SS5,8
12997,0,0,0,SS6a,8
12998,0,0,0,SS6b,8
322,194,805044.6340527841,62221.247094890285,SSp,8
793,0,0,0,SSp1,9
346,0,0,0,SSp2/3,9
865,0,0,0,SSp4,9
921,0,0,0,SSp5,9
686,0,0,0,SSp6a,9
719,0,0,0,SSp6b,9
353,20,114847.79855263859,6899.388397264826,SSp-n,9
558,0,7041.664879815825,1038.193229356246,SSp-n1,10
838,3,27673.256152184345,616.6806590910602,SSp-n2/3,10
654,1,33264.54271148877,758.2791556998094,SSp-n4,10
702,14,22299.76906854683,3841.162825839355,SSp-n5,10
889,2,23274.591441015993,630.3381329032629,SSp-n6a,10
929,0,1293.9742995868316,14.734394375093292,SSp-n6b,10
329,49,223100.207033236,13731.895303198407,SSp-bfd,9
981,1,12938.755508095108,2331.119190130534,SSp-bfd1,10
201,8,52527.65366241303,2012.665216649991,SSp-bfd2/3,10
1047,11,72027.25646208572,2485.3544425999366,SSp-bfd4,10
1070,21,45013.95988362192,5263.78131070586,SSp-bfd5,10
1038,8,37910.11323119065,1547.334226031207,SSp-bfd6a,10
1062,0,2682.468285829571,91.64091708087633,SSp-bfd6b,10
480149202,0,0,0,VISrll,10
480149206,0,0,0,VISrll1,11
480149210,0,0,0,VISrll2/3,11
480149214,0,0,0,VISrll4,11
480149218,0,0,0,VISrll5,11
480149222,0,0,0,VISrll6a,11
480149226,0,0,0,VISrll6b,11
337,13,45248.22523283259,3585.638705570934,SSp-ll,9
1030,1,4664.402111562714,781.0881708207619,SSp-ll1,10
113,2,16284.912170304236,694.099688820863,SSp-ll2/3,10
1094,1,5681.459296653856,338.6765910511153,SSp-ll4,10
1128,8,11655.04233685189,1522.1720700859591,SSp-ll5,10
478,1,6492.089671926421,185.737876543658,SSp-ll6a,10
510,0,470.3196455334793,63.864308248576286,SSp-ll6b,10
345,68,230146.1450404455,21787.555225157495,SSp-m,9
878,0,10508.023167187039,2720.101582017883,SSp-m1,10
657,5,64680.86341805728,2346.9046895280067,SSp-m2/3,10
950,11,58955.90866415417,3003.5653377721433,SSp-m4,10
974,43,46843.37846811897,11552.499001311198,SSp-m5,10
1102,8,46669.06694467892,1909.6886647778906,SSp-m6a,10
2,1,2488.9043782490958,254.79594975037273,SSp-m6b,10
369,35,121880.51120022182,13087.018605652529,SSp-ul,9
450,0,9730.356897424404,2467.134383952163,SSp-ul1,10
854,6,38644.719383238764,2108.1857139915387,SSp-ul2/3,10
577,2,21308.589388020377,1733.9809663993794,SSp-ul4,10
625,26,31101.065633820264,6482.633458087709,SSp-ul5,10
945,1,20011.453448118606,263.0353438428275,SSp-ul6a,10
1026,0,1084.326449599393,32.04873937890904,SSp-ul6b,10
361,4,28817.352361213496,1068.3772253473078,SSp-tr,9
1006,0,3677.4924721125817,277.0290075295387,SSp-tr1,10
670,1,11888.366978707487,240.837920805362,SSp-tr2/3,10
