783,993,233,17109_1801_x6698_y12550
783,104,107,17109_1801_x6698_y12550
783,746,1,17109_1801_x6698_y12550
783,972,3,17109_1801_x6698_y12550
783,1009,2,17109_1801_x6698_y12550
783,723,39,17109_1801_x6698_y12550
783,184,14,17109_1801_x6698_y12550
783,985,33,17109_1801_x6698_y12550
328,993,8,17109_1901_x9602_y10508
328,104,123,17109_1901_x9602_y10508
328,746,4,17109_1901_x9602_y10508
328,972,4,17109_1901_x9602_y10508
328,1009,3,17109_1901_x9602_y10508
328,723,95,17109_1901_x9602_y10508
328,119,2,17109_1901_x9602_y10508
328,184,9,17109_1901_x9602_y10508
328,698,2,17109_1901_x9602_y10508
328,731,8,17109_1901_x9602_y10508
1021,0,18,17109_2201_x8046_y23301
1021,993,206,17109_2201_x8046_y23301
1021,104,41,17109_2201_x8046_y23301
1021,345,31,17109_2201_x8046_y23301
1021,723,18,17109_2201_x8046_y23301
1021,119,1,17109_2201_x8046_y23301
1021,184,2,17109_2201_x8046_y23301
1021,985,95,17109_2201_x8046_y23301
783,0,12,17109_2301_x8535_y23051
783,993,72,17109_2301_x8535_y23051
783,1057,1,17109_2301_x8535_y23051
783,104,69,17109_2301_x8535_y23051
783,345,14,17109_2301_x8535_y23051
783,972,1,17109_2301_x8535_y23051
783,985,43,17109_2301_x8535_y23051
1101,0,4,17109_2301_x9418_y23665
1101,993,103,17109_2301_x9418_y23665
1101,1057,7,17109_2301_x9418_y23665
1101,104,140,17109_2301_x9418_y23665
1101,345,5,17109_2301_x9418_y23665
1101,972,8,17109_2301_x9418_y23665
1101,723,2,17109_2301_x9418_y23665
1101,119,1,17109_2301_x9418_y23665
1101,184,9,17109_2301_x9418_y23665
1101,985,8,17109_2301_x9418_y23665
648,0,4,17109_2401_x8977_y24184
648,993,73,17109_2401_x8977_y24184
648,104,14,17109_2401_x8977_y24184
648,345,4,17109_2401_x8977_y24184
648,184,1,17109_2401_x8977_y24184
648,985,198,17109_2401_x8977_y24184
1101,993,123,17109_2401_x9338_y2394
1101,39,20,17109_2401_x9338_y2394
1101,104,95,17109_2401_x9338_y2394
1101,746,2,17109_2401_x9338_y2394
1101,972,2,17109_2401_x9338_y2394
1101,723,9,17109_2401_x9338_y2394
1101,184,18,17109_2401_x9338_y2394
1101,985,10,17109_2401_x9338_y2394
1101,0,1,17109_2401_x9695_y9693
1101,385,5,17109_2401_x9695_y9693
1101,1027,2,17109_2401_x9695_y9693
1101,394,3,17109_2401_x9695_y9693
1101,402,3,17109_2401_x9695_y9693
1101,533,6,17109_2401_x9695_y9693
1101,918,1,17109_2401_x9695_y9693
1101,541,2,17109_2401_x9695_y9693
1101,417,8,17109_2401_x9695_y9693
1101,39,27,17109_2401_x9695_y9693
