region id,Abbreviation,x,y,z
1109,PS,224.327,231.773,202.507
126,PVp,227.707,273.284,305.505
133,PVpo,227.673,251.18,219.748
347,SBPV,227.718,255.304,239.518
286,SCH,227.709,274.062,236.078
338,SFO,227.753,135.785,234.968
576073699,VMPO,227.664,272.436,216.316
689,VLPO,218.675,274.22,210.642
88,AHN,226.133,252.341,243.146
515,MPN,227.719,246.802,220.521
980,PMd,227.689,248.826,306.318
1004,PMv,225.649,264.489,302.42
63,PVHd,224.229,226.986,260.267
693,VMH,227.505,268.467,272.092
946,PH,227.644,223,297.738
194,LHA,181.42,239.011,267.959
226,LPO,192.379,248.772,213.949
356,PST,173.872,228.877,281.724
364,PSTN,180.086,227.046,298.295
576073704,PeF,204.708,242.479,256.364
173,RCH,224.221,278.307,246.898
470,STN,160.37,215.202,292.319
614,TU,201.087,275.767,274.223
797,ZI,169.379,198.394,292.634
215,APN,176.908,131.122,322.612
531,MPT,227.72,95.7345,322.512
628,NOT,194.683,95.8892,324.41
634,NPC,227.731,121.328,320.375
706,OP,220.58,103.826,315.358
1061,PPT,210.229,102.526,325.844
12,IF,227.674,199.06,344.532
100,IPN,227.689,217.519,346.497
197,RL,227.685,177.371,344.059
591,CLI,227.648,177.864,363.471
872,DR,227.704,152.79,393.206
612,NLL,155.598,207.024,378.571
7,PSV,145.261,225.899,407.114
867,PB,166.408,171.37,414.14
398,SOC,177.396,269.98,396.567
280,B,207.871,175.406,426.094
880,DTN,227.709,166.253,416.667
599626927,PDTg,227.697,184.27,427.763
898,PCG,226.898,175.707,424.153
931,PG,218.718,255.907,358.55
1093,PRNc,217.833,235.055,407.989
318,SG,227.821,196.956,433.806
534,SUT,165.533,194.418,402.636
574,TRN,223.759,242.866,374.345
621,V,163.665,211.462,407.721
549009215,P5,173.759,212.944,402.297
549009219,Acs5,177.814,222.946,407.873
549009223,PC5,158.2,233.086,397.463
549009227,I5,153.883,210.159,413.516
679,CS,227.713,207.101,381.76
147,LC,189.279,171.119,428.384
162,LDT,226.814,158.879,412.727
604,NI,227.727,192.702,421.762
