,Soma_x,Soma_y,Soma_z,Manually_corrected_soma_region,Cortical_layer,Transgenic_line,Brain_id
17109_1701_x8048_y22277,2801.7,3705.95,3800,AId,5,Gnb4-IRES2-CreERT2;Ai140_297974-17109,17109
17109_1801_x6698_y12550,2870.18,3370.43,3898.15,AId,6a,Gnb4-IRES2-CreERT2;Ai140_297974-17109,17109
17109_1901_x9602_y10508,3078.68,4598.58,3048.43,AId,2/3,Gnb4-IRES2-CreERT2;Ai140_297974-17109,17109
17109_2201_x8046_y23301,3287.07,3546.38,3392.45,MOs,6a,Gnb4-IRES2-CreERT2;Ai140_297974-17109,17109
17109_2301_x8535_y23051,3364.8,3742.77,3509.92,AId,6a,Gnb4-IRES2-CreERT2;Ai140_297974-17109,17109
17109_2301_x9418_y23665,3324.73,4101.6,3220.05,AId,5,Gnb4-IRES2-CreERT2;Ai140_297974-17109,17109
17109_2401_x8977_y24184,3473.68,3864.1,2994.95,MOp,5,Gnb4-IRES2-CreERT2;Ai140_297974-17109,17109
17109_2401_x9338_y2394,3468.4,4033.8,3201.4,AId,5,Gnb4-IRES2-CreERT2;Ai140_297974-17109,17109
17109_2401_x9695_y9693,3760.35,4622.62,2762.85,AId,5,Gnb4-IRES2-CreERT2;Ai140_297974-17109,17109
17109_2401_x9954_y9122,3753.4,4759.33,2461.5,AId,2/3,Gnb4-IRES2-CreERT2;Ai140_297974-17109,17109
17109_2500_x9864_y9311,3825.18,4703.15,2582.7,AId,5,Gnb4-IRES2-CreERT2;Ai140_297974-17109,17109
17109_2601_x10213_y8783,4002.32,4834.98,2378.05,AId,5,Gnb4-IRES2-CreERT2;Ai140_297974-17109,17109
17109_2601_x9296_y24691,3687.68,3928.9,2763.88,MOp,5,Gnb4-IRES2-CreERT2;Ai140_297974-17109,17109
17109_2601_x9498_y8169,4001.3,4583,2169.93,AId,2/3,Gnb4-IRES2-CreERT2;Ai140_297974-17109,17109
17109_3101_x10824_y7188,4610.4,5007.7,1841.07,AId,2/3,Gnb4-IRES2-CreERT2;Ai140_297974-17109,17109
17109_3701_x9228_y26684,5030.6,3600.32,1966.88,SSs,5,Gnb4-IRES2-CreERT2;Ai140_297974-17109,17109
17109_4101_x6753_y6197,5579.45,3078.35,1573.6,SSs,4,Gnb4-IRES2-CreERT2;Ai140_297974-17109,17109
17109_4764_x6621_y5727,6280.6,2933.77,1516.45,SSs,4,Gnb4-IRES2-CreERT2;Ai140_297974-17109,17109
17109_4772_x9038_y27257,6253.88,3208.7,1715.5,SSs,5,Gnb4-IRES2-CreERT2;Ai140_297974-17109,17109
17109_6201_x4328_y6753,8472.75,1546.38,2489.12,VISp,5,Gnb4-IRES2-CreERT2;Ai140_297974-17109,17109
17109_6301_x4756_y24516,7915.05,1268.12,2619.1,VISrl,5,Gnb4-IRES2-CreERT2;Ai140_297974-17109,17109
17109_6401_x7641_y3978,8668.78,3047.12,1126.57,AUDv,5,Gnb4-IRES2-CreERT2;Ai140_297974-17109,17109
17109_6401_x7989_y3767,8604.42,2986.32,1051.85,AUDv,4,Gnb4-IRES2-CreERT2;Ai140_297974-17109,17109
17109_6501_x6997_y4287,8675.62,2797.3,1158.15,AUDpo,4,Gnb4-IRES2-CreERT2;Ai140_297974-17109,17109
17109_6601_x4384_y7436,8043.73,1633.75,2106.93,VISal,5,Gnb4-IRES2-CreERT2;Ai140_297974-17109,17109
17109_6601_x5417_y25287,8267.6,1502.43,2303.38,VISal,5,Gnb4-IRES2-CreERT2;Ai140_297974-17109,17109
17109_6801_x7432_y4405,8968.15,2950.9,1259.6,TEa,5,Gnb4-IRES2-CreERT2;Ai140_297974-17109,17109
17109_6901_x7203_y26714,8598.3,2227.38,1662.9,TEa,5,Gnb4-IRES2-CreERT2;Ai140_297974-17109,17109
17109_7001_x5738_y6470,8940.65,2164.62,2113.95,VISl,6a,Gnb4-IRES2-CreERT2;Ai140_297974-17109,17109
17109_7001_x6205_y5194,8856.08,2377.05,1507.72,TEa,4,Gnb4-IRES2-CreERT2;Ai140_297974-17109,17109
17300_3426_x20339_y44872,5190.75,3477.62,1760.2,SSs,5,Plxnd1-CreER;Ai82;Ai140_314107-17300,17300
17300_3514_x19676_y45282,5320.95,3629.57,1657.47,SSs,5,Plxnd1-CreER;Ai82;Ai140_314107-17300,17300
17300_5571_x27063_y39610,7653.85,826.125,3222.12,VISa,2/3,Plxnd1-CreER;Ai82;Ai140_314107-17300,17300
17300_5896_x24862_y27320,8084.88,1380.47,5343.5,RSPv,5,Plxnd1-CreER;Ai82;Ai140_314107-17300,17300
17300_5969_x27278_y20820,8002.25,652.2,3835.57,VISp,5,Plxnd1-CreER;Ai82;Ai140_314107-17300,17300
17300_6010_x23413_y13446,8146.75,1721.45,1893.32,VISal,4,Plxnd1-CreER;Ai82;Ai140_314107-17300,17300
17302_00001,4912.75,4900.88,2445.78,CP,6a,Tnnt1-IRES2-CreERT2;Ai82;Ai140_321237-17302,17302
17302_00002,4815.65,4976.62,2421.28,CP,unknown,Tnnt1-IRES2-CreERT2;Ai82;Ai140_321237-17302,17302
17302_00003,4908.25,4910.88,2340.62,CP,unknown,Tnnt1-IRES2-CreERT2;Ai82;Ai140_321237-17302,17302
17302_00005,4749.45,4608.62,2777.4,CP,unknown,Tnnt1-IRES2-CreERT2;Ai82;Ai140_321237-17302,17302
17302_00006,4967.48,4418.42,2691.03,CP,unknown,Tnnt1-IRES2-CreERT2;Ai82;Ai140_321237-17302,17302
17302_00007,5030.88,4426.55,2712.4,CP,unknown,Tnnt1-IRES2-CreERT2;Ai82;Ai140_321237-17302,17302
17302_00009,4938.08,4175.05,2783.75,CP,unknown,Tnnt1-IRES2-CreERT2;Ai82;Ai140_321237-17302,17302
17302_00010,5068.48,3987.55,2783.28,CP,unknown,Tnnt1-IRES2-CreERT2;Ai82;Ai140_321237-17302,17302
17302_00011,5057.7,4183.52,2675.8,CP,unknown,Tnnt1-IRES2-CreERT2;Ai82;Ai140_321237-17302,17302
17302_00013,4972.92,4085.52,2721.95,CP,unknown,Tnnt1-IRES2-CreERT2;Ai82;Ai140_321237-17302,17302
17302_00014,4755.42,3941.15,2653,CP,unknown,Tnnt1-IRES2-CreERT2;Ai82;Ai140_321237-17302,17302
17302_00015,5260.2,3842.1,2569.15,CP,unknown,Tnnt1-IRES2-CreERT2;Ai82;Ai140_321237-17302,17302
17302_00016,5203,3547.6,2633.28,CP,unknown,Tnnt1-IRES2-CreERT2;Ai82;Ai140_321237-17302,17302
17302_00017,6709.42,4386.58,2114.17,CP,unknown,Tnnt1-IRES2-CreERT2;Ai82;Ai140_321237-17302,17302
17302_00018,5018.85,5249.77,2880.72,CP,unknown,Tnnt1-IRES2-CreERT2;Ai82;Ai140_321237-17302,17302
17302_00020,6668.58,4870.65,4084.92,VPL,unknown,Tnnt1-IRES2-CreERT2;Ai82;Ai140_321237-17302,17302
17302_00021,6569.6,4656.42,4118.52,VPL,unknown,Tnnt1-IRES2-CreERT2;Ai82;Ai140_321237-17302,17302
17302_00023,6368.98,4632.73,5263.88,AM,unknown,Tnnt1-IRES2-CreERT2;Ai82;Ai140_321237-17302,17302
17302_00024,5800.15,4633.58,5540.02,PVT,unknown,Tnnt1-IRES2-CreERT2;Ai82;Ai140_321237-17302,17302
17302_00025,6125.83,4106.2,5479.45,MD,unknown,Tnnt1-IRES2-CreERT2;Ai82;Ai140_321237-17302,17302
17302_00027,4990.9,4004.73,2847.95,CP,unknown,Tnnt1-IRES2-CreERT2;Ai82;Ai140_321237-17302,17302
17302_00030,4218.75,4237.3,3266.15,CP,unknown,Tnnt1-IRES2-CreERT2;Ai82;Ai140_321237-17302,17302
17302_00031,5194.33,3788.32,3023.1,CP,unknown,Tnnt1-IRES2-CreERT2;Ai82;Ai140_321237-17302,17302
17302_00032,4486.38,3788.45,2910.5,CP,unknown,Tnnt1-IRES2-CreERT2;Ai82;Ai140_321237-17302,17302
17302_00033,3988.98,4097.85,3785.25,CP,unknown,Tnnt1-IRES2-CreERT2;Ai82;Ai140_321237-17302,17302
17302_00035,8310.2,3935.6,3721.45,MG,unknown,Tnnt1-IRES2-CreERT2;Ai82;Ai140_321237-17302,17302
17302_00036,8154.42,3756.5,3597.48,MG,unknown,Tnnt1-IRES2-CreERT2;Ai82;Ai140_321237-17302,17302
17302_00037,7026.35,3690.85,3451.17,LGd,unknown,Tnnt1-IRES2-CreERT2;Ai82;Ai140_321237-17302,17302
17302_00038,8388.17,3522.8,3365.7,MG,unknown,Tnnt1-IRES2-CreERT2;Ai82;Ai140_321237-17302,17302
17302_00039,7607.55,3092.12,3557.83,LGd,unknown,Tnnt1-IRES2-CreERT2;Ai82;Ai140_321237-17302,17302
17302_00040,7879.48,3105.57,3708.98,LGd,unknown,Tnnt1-IRES2-CreERT2;Ai82;Ai140_321237-17302,17302
17302_00041,7828.45,3074.02,3610.65,LGd,unknown,Tnnt1-IRES2-CreERT2;Ai82;Ai140_321237-17302,17302
17302_00043,5674.48,3136.9,3078.75,CP,unknown,Tnnt1-IRES2-CreERT2;Ai82;Ai140_321237-17302,17302
17302_00044,5047.1,3168.93,3123.85,CP,unknown,Tnnt1-IRES2-CreERT2;Ai82;Ai140_321237-17302,17302
17302_00045,5121.65,3214.8,3270.42,CP,unknown,Tnnt1-IRES2-CreERT2;Ai82;Ai140_321237-17302,17302
17302_00046,5999.6,2829.62,3020.3,CP,unknown,Tnnt1-IRES2-CreERT2;Ai82;Ai140_321237-17302,17302
17302_00047,5507.33,2567.95,3381.35,CP,unknown,Tnnt1-IRES2-CreERT2;Ai82;Ai140_321237-17302,17302
17302_00048,7283.67,2852.05,3534.6,LGd,unknown,Tnnt1-IRES2-CreERT2;Ai82;Ai140_321237-17302,17302
17302_00049,7620.73,2915.52,3617.62,LGd,unknown,Tnnt1-IRES2-CreERT2;Ai82;Ai140_321237-17302,17302
17302_00050,4644.7,3842.45,3955.73,CP,unknown,Tnnt1-IRES2-CreERT2;Ai82;Ai140_321237-17302,17302
17302_00052,8289.25,3462,3807.4,MG,unknown,Tnnt1-IRES2-CreERT2;Ai82;Ai140_321237-17302,17302
17302_00053,6642.67,4085.43,4045.83,VPM,unknown,Tnnt1-IRES2-CreERT2;Ai82;Ai140_321237-17302,17302
17302_00054,7122.5,4139.1,4442.95,VPM,unknown,Tnnt1-IRES2-CreERT2;Ai82;Ai140_321237-17302,17302
17302_00055,5317.62,2906.55,3749.67,CP,unknown,Tnnt1-IRES2-CreERT2;Ai82;Ai140_321237-17302,17302
17302_00056,5177.62,2803.8,3577.65,CP,unknown,Tnnt1-IRES2-CreERT2;Ai82;Ai140_321237-17302,17302
17302_00057,4875.62,2822.12,3815.5,CP,unknown,Tnnt1-IRES2-CreERT2;Ai82;Ai140_321237-17302,17302
17302_00059,4620.73,3068.45,4230.92,CP,unknown,Tnnt1-IRES2-CreERT2;Ai82;Ai140_321237-17302,17302
17302_00062,5372.7,2636.82,4108.1,CP,unknown,Tnnt1-IRES2-CreERT2;Ai82;Ai140_321237-17302,17302
17302_00063,5265.58,2502.18,4319.2,CP,unknown,Tnnt1-IRES2-CreERT2;Ai82;Ai140_321237-17302,17302
17302_00064,7242.7,2798.82,3697.52,LGd,unknown,Tnnt1-IRES2-CreERT2;Ai82;Ai140_321237-17302,17302
17302_00065,7184.2,2807.25,3765.33,LGd,unknown,Tnnt1-IRES2-CreERT2;Ai82;Ai140_321237-17302,17302
17302_00066,7618.3,2869.25,3732.75,LGd,unknown,Tnnt1-IRES2-CreERT2;Ai82;Ai140_321237-17302,17302
17302_00074,4727.73,4611.5,4060.62,CP,unknown,Tnnt1-IRES2-CreERT2;Ai82;Ai140_321237-17302,17302
17302_00075,5095.92,4474.58,2839.68,CP,unknown,Tnnt1-IRES2-CreERT2;Ai82;Ai140_321237-17302,17302
17302_00076,8003.02,4318.58,3581.7,MG,unknown,Tnnt1-IRES2-CreERT2;Ai82;Ai140_321237-17302,17302
17302_00077,7963.73,4282.17,3545.12,MG,unknown,Tnnt1-IRES2-CreERT2;Ai82;Ai140_321237-17302,17302
17302_00078,7424.52,4148.42,3235.62,VPL,unknown,Tnnt1-IRES2-CreERT2;Ai82;Ai140_321237-17302,17302
17302_00079,8294,4170.88,3329.85,MG,unknown,Tnnt1-IRES2-CreERT2;Ai82;Ai140_321237-17302,17302
17302_00080,7961.2,4256.52,3248.65,LGd,unknown,Tnnt1-IRES2-CreERT2;Ai82;Ai140_321237-17302,17302
17302_00081,5118.25,5085.1,2401.23,CP,unknown,Tnnt1-IRES2-CreERT2;Ai82;Ai140_321237-17302,17302
17302_00085,5538.1,4461.6,2553.55,CP,unknown,Tnnt1-IRES2-CreERT2;Ai82;Ai140_321237-17302,17302
17302_00086,5071.2,4402.1,2621.4,CP,unknown,Tnnt1-IRES2-CreERT2;Ai82;Ai140_321237-17302,17302
17302_00087,4892.48,4515.52,2420.52,CP,unknown,Tnnt1-IRES2-CreERT2;Ai82;Ai140_321237-17302,17302
17302_00091,5245.8,3841.52,2671.7,CP,unknown,Tnnt1-IRES2-CreERT2;Ai82;Ai140_321237-17302,17302
17302_00093,5083.85,4453.45,2463.25,CP,unknown,Tnnt1-IRES2-CreERT2;Ai82;Ai140_321237-17302,17302
17302_00094,5002.8,4479.3,2424.15,CP,unknown,Tnnt1-IRES2-CreERT2;Ai82;Ai140_321237-17302,17302
17302_00095,5049.38,4359.95,2477.93,CP,unknown,Tnnt1-IRES2-CreERT2;Ai82;Ai140_321237-17302,17302
17302_00096,4826.25,4428.38,2357.8,CP,6a,Tnnt1-IRES2-CreERT2;Ai82;Ai140_321237-17302,17302
17302_00097,5047.05,4389.52,2358,CP,unknown,Tnnt1-IRES2-CreERT2;Ai82;Ai140_321237-17302,17302
17302_00098,5008.85,3916.82,2565.68,CP,unknown,Tnnt1-IRES2-CreERT2;Ai82;Ai140_321237-17302,17302
17302_00099,6668.9,4242.4,2242.4,CP,unknown,Tnnt1-IRES2-CreERT2;Ai82;Ai140_321237-17302,17302
17302_00101,4780.85,3052.05,4340,CP,unknown,Tnnt1-IRES2-CreERT2;Ai82;Ai140_321237-17302,17302
17302_00102,4431.27,2925.4,3880.3,CP,unknown,Tnnt1-IRES2-CreERT2;Ai82;Ai140_321237-17302,17302
17302_00103,5784.5,2244.65,3949.75,CP,unknown,Tnnt1-IRES2-CreERT2;Ai82;Ai140_321237-17302,17302
17302_00105,4094.38,3904.75,3507.4,CP,unknown,Tnnt1-IRES2-CreERT2;Ai82;Ai140_321237-17302,17302
17302_00106,5179.83,2999.65,3819.62,CP,unknown,Tnnt1-IRES2-CreERT2;Ai82;Ai140_321237-17302,17302
17302_00108,4642.88,3586.55,3001.9,CP,unknown,Tnnt1-IRES2-CreERT2;Ai82;Ai140_321237-17302,17302
17302_00110,5057.98,3206.93,3336.85,CP,unknown,Tnnt1-IRES2-CreERT2;Ai82;Ai140_321237-17302,17302
17302_00112,7131.2,4042.15,3576.05,VPM,unknown,Tnnt1-IRES2-CreERT2;Ai82;Ai140_321237-17302,17302
17302_00113,6678.83,3612.9,3498.7,VPM,unknown,Tnnt1-IRES2-CreERT2;Ai82;Ai140_321237-17302,17302
17302_00114,6950.4,4001.68,3379.3,VPM,unknown,Tnnt1-IRES2-CreERT2;Ai82;Ai140_321237-17302,17302
17302_00115,7192.17,4053.57,3426.43,VPM,unknown,Tnnt1-IRES2-CreERT2;Ai82;Ai140_321237-17302,17302
17302_00116,7378.25,4097.92,3393.15,VPL,unknown,Tnnt1-IRES2-CreERT2;Ai82;Ai140_321237-17302,17302
17302_00117,7270.38,3037.98,3256.93,LGd,unknown,Tnnt1-IRES2-CreERT2;Ai82;Ai140_321237-17302,17302
17302_00118,7767.67,3860.77,2991.12,LGd,unknown,Tnnt1-IRES2-CreERT2;Ai82;Ai140_321237-17302,17302
17302_00119,7678.4,3014.35,3556.98,LGd,unknown,Tnnt1-IRES2-CreERT2;Ai82;Ai140_321237-17302,17302
17302_00120,7571.62,2933.3,3536.88,LGd,unknown,Tnnt1-IRES2-CreERT2;Ai82;Ai140_321237-17302,17302
17302_00121,7452.4,2884.6,3605.45,LGd,unknown,Tnnt1-IRES2-CreERT2;Ai82;Ai140_321237-17302,17302
17302_00123,4766.35,2864.23,3778.23,CP,unknown,Tnnt1-IRES2-CreERT2;Ai82;Ai140_321237-17302,17302
17302_00124,5207.12,3124.45,2852.65,CP,unknown,Tnnt1-IRES2-CreERT2;Ai82;Ai140_321237-17302,17302
17302_00125,7489.6,2984.52,3826.68,LP,unknown,Tnnt1-IRES2-CreERT2;Ai82;Ai140_321237-17302,17302
17543_00126,5181.62,4402.8,1571.45,VISC,5,Tlx3-Cre_PL56;Ai82;Ai161_325875-17543,17543
17543_00140,6323.88,1239.32,3556.75,SSp-ul,5,Tlx3-Cre_PL56;Ai82;Ai161_325875-17543,17543
17543_2434_x11441_y5587,4795.83,2906.18,2043.4,SSp-m,4,Tlx3-Cre_PL56;Ai82;Ai161_325875-17543,17543
17543_3308_x10077_y3766,5441,3220.18,1693.6,SSp-m,4,Tlx3-Cre_PL56;Ai82;Ai161_325875-17543,17543
17543_3471_x12087_y3637,5184.5,4404.98,1572.45,VISC,5,Tlx3-Cre_PL56;Ai82;Ai161_325875-17543,17543
17543_3705_x9619_y20864,5109.52,3133.18,1755.17,SSs,4,Tlx3-Cre_PL56;Ai82;Ai161_325875-17543,17543
17543_3828_x6023_y17044,6251.02,1234.82,3573.2,SSp-ll,4,Tlx3-Cre_PL56;Ai82;Ai161_325875-17543,17543
17543_3842_x7369_y3542,6613.7,1958.57,1822.65,SSp-bfd,2/3,Tlx3-Cre_PL56;Ai82;Ai161_325875-17543,17543
17543_5296_x5131_y20385,8052.38,1724.65,2016.03,VISal,5,Tlx3-Cre_PL56;Ai82;Ai161_325875-17543,17543
17543_5334_x5066_y20381,8117.75,1711.03,2014.35,VISal,5,Tlx3-Cre_PL56;Ai82;Ai161_325875-17543,17543
17545_00001,4948.52,5107.1,2709.92,CP,unknown,Tnnt1-IRES2-CreERT2;Ai82;Ai140_321244-17545,17545
17545_00003,7006.4,4802.05,3643.02,VPL,unknown,Tnnt1-IRES2-CreERT2;Ai82;Ai140_321244-17545,17545
17545_00004,4772.35,4818.05,2798.5,CP,unknown,Tnnt1-IRES2-CreERT2;Ai82;Ai140_321244-17545,17545
17545_00006,4867.98,4514.7,2827.97,CP,unknown,Tnnt1-IRES2-CreERT2;Ai82;Ai140_321244-17545,17545
17545_00007,5021.45,4744.12,2825.65,CP,unknown,Tnnt1-IRES2-CreERT2;Ai82;Ai140_321244-17545,17545
17545_00008,5139.35,4720.83,2719,CP,unknown,Tnnt1-IRES2-CreERT2;Ai82;Ai140_321244-17545,17545
17545_00023,4975.45,4077.12,2600.5,CP,unknown,Tnnt1-IRES2-CreERT2;Ai82;Ai140_321244-17545,17545
17545_00024,5046.48,3900.85,2770,CP,unknown,Tnnt1-IRES2-CreERT2;Ai82;Ai140_321244-17545,17545
17545_00025,4833.92,3653.02,2907.75,CP,unknown,Tnnt1-IRES2-CreERT2;Ai82;Ai140_321244-17545,17545
17545_00026,5105.62,3742.38,2667.72,CP,unknown,Tnnt1-IRES2-CreERT2;Ai82;Ai140_321244-17545,17545
17545_00027,5601.7,4826.77,2256.67,CP,unknown,Tnnt1-IRES2-CreERT2;Ai82;Ai140_321244-17545,17545
17545_00028,6928.8,4228.62,2205.08,CP,unknown,Tnnt1-IRES2-CreERT2;Ai82;Ai140_321244-17545,17545
17545_00029,5433.4,3994.75,2694.6,CP,unknown,Tnnt1-IRES2-CreERT2;Ai82;Ai140_321244-17545,17545
17545_00030,5171.62,3481.23,2921.7,CP,unknown,Tnnt1-IRES2-CreERT2;Ai82;Ai140_321244-17545,17545
17545_00040,4271.92,4924.65,3425.35,CP,unknown,Tnnt1-IRES2-CreERT2;Ai82;Ai140_321244-17545,17545
17545_00041,4622.02,4669.4,3034.03,CP,unknown,Tnnt1-IRES2-CreERT2;Ai82;Ai140_321244-17545,17545
17545_00044,5221.95,4560.15,3259.48,CP,unknown,Tnnt1-IRES2-CreERT2;Ai82;Ai140_321244-17545,17545
17545_00045,4997,4194.27,3035.42,CP,unknown,Tnnt1-IRES2-CreERT2;Ai82;Ai140_321244-17545,17545
17545_00046,4278.77,3968.57,3117.53,CP,unknown,Tnnt1-IRES2-CreERT2;Ai82;Ai140_321244-17545,17545
17545_00047,4628.83,3673.95,3229.4,CP,unknown,Tnnt1-IRES2-CreERT2;Ai82;Ai140_321244-17545,17545
17545_00048,4220.02,3883.45,3743.6,CP,unknown,Tnnt1-IRES2-CreERT2;Ai82;Ai140_321244-17545,17545
17545_00050,4998.9,3897.65,3421.08,CP,unknown,Tnnt1-IRES2-CreERT2;Ai82;Ai140_321244-17545,17545
17545_00052,4066.35,4705.27,4236.62,CP,unknown,Tnnt1-IRES2-CreERT2;Ai82;Ai140_321244-17545,17545
17545_00053,4700.75,3941.6,4410.2,CP,unknown,Tnnt1-IRES2-CreERT2;Ai82;Ai140_321244-17545,17545
17545_00054,7045.08,3947.1,3192.83,VPL,unknown,Tnnt1-IRES2-CreERT2;Ai82;Ai140_321244-17545,17545
17545_00055,6990,3759.75,3168.95,VPL,unknown,Tnnt1-IRES2-CreERT2;Ai82;Ai140_321244-17545,17545
17545_00056,7109.67,3702.6,3336.73,VPM,unknown,Tnnt1-IRES2-CreERT2;Ai82;Ai140_321244-17545,17545
17545_00057,6741.62,4462.85,4169.9,VPM,unknown,Tnnt1-IRES2-CreERT2;Ai82;Ai140_321244-17545,17545
17545_00058,7081.1,3872.95,3647.45,VPM,unknown,Tnnt1-IRES2-CreERT2;Ai82;Ai140_321244-17545,17545
17545_00059,4706.6,3115.77,3577.35,CP,unknown,Tnnt1-IRES2-CreERT2;Ai82;Ai140_321244-17545,17545
17545_00060,4422.1,3286.25,3756,CP,unknown,Tnnt1-IRES2-CreERT2;Ai82;Ai140_321244-17545,17545
17545_00063,5487.42,2633.35,3627.25,CP,unknown,Tnnt1-IRES2-CreERT2;Ai82;Ai140_321244-17545,17545
17545_00064,4279.2,3243.98,3941.55,CP,unknown,Tnnt1-IRES2-CreERT2;Ai82;Ai140_321244-17545,17545
17545_00065,5134.4,3216.1,4273.33,CP,unknown,Tnnt1-IRES2-CreERT2;Ai82;Ai140_321244-17545,17545
17545_00066,4921.8,2802.15,3938.25,CP,unknown,Tnnt1-IRES2-CreERT2;Ai82;Ai140_321244-17545,17545
17545_00067,5390.52,2540.65,4099.5,CP,unknown,Tnnt1-IRES2-CreERT2;Ai82;Ai140_321244-17545,17545
17545_00068,5006.35,2780.3,4491.75,CP,unknown,Tnnt1-IRES2-CreERT2;Ai82;Ai140_321244-17545,17545
17545_00071,6931.58,3821.65,4389.4,VAL,unknown,Tnnt1-IRES2-CreERT2;Ai82;Ai140_321244-17545,17545
17545_00073,7187,4002.18,1923.53,CP,unknown,Tnnt1-IRES2-CreERT2;Ai82;Ai140_321244-17545,17545
17545_00074,7278.2,3916.88,1899.05,CP,unknown,Tnnt1-IRES2-CreERT2;Ai82;Ai140_321244-17545,17545
17545_00075,7277.73,3852.25,3190.1,VPM,unknown,Tnnt1-IRES2-CreERT2;Ai82;Ai140_321244-17545,17545
17545_00078,7154.38,3691.5,3270.27,VPM,unknown,Tnnt1-IRES2-CreERT2;Ai82;Ai140_321244-17545,17545
17545_00081,8018.8,3662.25,3295.73,MG,unknown,Tnnt1-IRES2-CreERT2;Ai82;Ai140_321244-17545,17545
17545_00082,8269.28,3615.15,3385.4,MG,unknown,Tnnt1-IRES2-CreERT2;Ai82;Ai140_321244-17545,17545
17545_00084,7323.55,4350.88,4178.35,VPL,unknown,Tnnt1-IRES2-CreERT2;Ai82;Ai140_321244-17545,17545
17545_00085,7524.85,4377.52,3940.8,VPL,unknown,Tnnt1-IRES2-CreERT2;Ai82;Ai140_321244-17545,17545
17545_00088,7450.55,3559.45,2854.53,LGd,unknown,Tnnt1-IRES2-CreERT2;Ai82;Ai140_321244-17545,17545
17545_00089,7145.65,3313.9,3384.65,LP,unknown,Tnnt1-IRES2-CreERT2;Ai82;Ai140_321244-17545,17545
17545_00091,7680.98,3378.75,3316.2,LGd,unknown,Tnnt1-IRES2-CreERT2;Ai82;Ai140_321244-17545,17545
17545_00092,7693.9,3624.98,3070.22,LGd,unknown,Tnnt1-IRES2-CreERT2;Ai82;Ai140_321244-17545,17545
17545_00093,7393.17,2859.68,3396.38,LGd,unknown,Tnnt1-IRES2-CreERT2;Ai82;Ai140_321244-17545,17545
17545_00094,7529.02,2932.18,3368.02,LGd,unknown,Tnnt1-IRES2-CreERT2;Ai82;Ai140_321244-17545,17545
17545_00095,7601.88,3128.82,3573.7,LGd,unknown,Tnnt1-IRES2-CreERT2;Ai82;Ai140_321244-17545,17545
17545_00110,6939.95,4173.25,4241.77,VPM,unknown,Tnnt1-IRES2-CreERT2;Ai82;Ai140_321244-17545,17545
17545_00111,4637.4,2734.2,4280.6,CP,unknown,Tnnt1-IRES2-CreERT2;Ai82;Ai140_321244-17545,17545
17545_00113,4566.42,3096.07,4066,CP,unknown,Tnnt1-IRES2-CreERT2;Ai82;Ai140_321244-17545,17545
17545_00115,4062.9,4991.73,3467.85,CP,unknown,Tnnt1-IRES2-CreERT2;Ai82;Ai140_321244-17545,17545
17545_00116,4603.17,4593.98,3004.95,CP,unknown,Tnnt1-IRES2-CreERT2;Ai82;Ai140_321244-17545,17545
17545_00118,4850.83,4949.62,2665.2,CP,unknown,Tnnt1-IRES2-CreERT2;Ai82;Ai140_321244-17545,17545
17545_00119,4996.12,4722.05,2711.95,CP,unknown,Tnnt1-IRES2-CreERT2;Ai82;Ai140_321244-17545,17545
17545_00120,5388.3,4848.08,2785.07,CP,unknown,Tnnt1-IRES2-CreERT2;Ai82;Ai140_321244-17545,17545
17545_00121,5539.67,4680.1,2817.1,CP,unknown,Tnnt1-IRES2-CreERT2;Ai82;Ai140_321244-17545,17545
17545_00122,5028.6,4668.27,2798.43,CP,unknown,Tnnt1-IRES2-CreERT2;Ai82;Ai140_321244-17545,17545
17545_00124,5027.73,4588.9,2525.88,CP,unknown,Tnnt1-IRES2-CreERT2;Ai82;Ai140_321244-17545,17545
17545_00125,4875.6,4570.95,2548.05,CP,unknown,Tnnt1-IRES2-CreERT2;Ai82;Ai140_321244-17545,17545
17545_00126,5036.35,4464.02,2581.93,CP,unknown,Tnnt1-IRES2-CreERT2;Ai82;Ai140_321244-17545,17545
17545_00129,5144.58,4571.88,2599.27,CP,unknown,Tnnt1-IRES2-CreERT2;Ai82;Ai140_321244-17545,17545
17545_00130,5031.6,4332.05,2770.7,CP,unknown,Tnnt1-IRES2-CreERT2;Ai82;Ai140_321244-17545,17545
17545_00131,5024.2,4244.45,2763.4,CP,unknown,Tnnt1-IRES2-CreERT2;Ai82;Ai140_321244-17545,17545
17545_00132,4991.62,4267.48,2734.6,CP,unknown,Tnnt1-IRES2-CreERT2;Ai82;Ai140_321244-17545,17545
17545_00136,4960.12,4451.3,2564.77,CP,unknown,Tnnt1-IRES2-CreERT2;Ai82;Ai140_321244-17545,17545
17545_00138,5032.95,4399.33,2491,CP,unknown,Tnnt1-IRES2-CreERT2;Ai82;Ai140_321244-17545,17545
17545_00140,5089,4347.02,2533.25,CP,unknown,Tnnt1-IRES2-CreERT2;Ai82;Ai140_321244-17545,17545
17545_00142,7269.23,4650.67,3710.62,VPL,unknown,Tnnt1-IRES2-CreERT2;Ai82;Ai140_321244-17545,17545
17545_00143,4505.05,3873.18,2958.5,CP,unknown,Tnnt1-IRES2-CreERT2;Ai82;Ai140_321244-17545,17545
17545_00144,4877.2,4064.07,3164.82,CP,unknown,Tnnt1-IRES2-CreERT2;Ai82;Ai140_321244-17545,17545
